"Id","CarMarkId","Title"
533,61,Subaru Justy
173,61,Subaru Legacy
534,61,Subaru Leone
535,61,Subaru Levorg
536,61,Subaru Libero
178,61,Subaru Outback
537,61,Subaru Pleo
538,61,Subaru R1
539,61,Subaru R2
541,61,Subaru Sambar
542,61,Subaru Stella
540,61,Subaru SVX
543,61,Subaru Traviq
544,61,Subaru Trezia
545,61,Subaru Tribeca
546,61,Subaru Vivio
547,61,Subaru WRX
548,61,Subaru WRX STi
549,61,Subaru XV
1657,62,
931,62,Suzuki Aerio
932,62,Suzuki Alto
933,62,Suzuki Baleno
934,62,Suzuki Cappuccino
935,62,Suzuki Celerio
936,62,Suzuki Cervo
1350,62,Suzuki Cultus
937,62,Suzuki Equator
938,62,Suzuki Ertiga
939,62,Suzuki Escudo
940,62,Suzuki Every
1532,62,Suzuki Forenza
74,62,Suzuki Grand Vitara
